minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
2,52,2.24,1,0,65
1,63,3.49,1,302,120
1,2,0.05,1,0,45
1,93,1.71,5,363,45
2,88,2.01,3,293,242
1,5,0.5,1,0,125
2,38,2.17,1,31,35
2,2,0.44,69,358,217
1,10,0.53,3,0,88
1,1,0.07,1,0,30
3,27,1.23,1,0,999
2,113,2.28,1,328,517
30,11,0.17,25,365,192
30,11,0.31,39,335,88
2,23,2.07,1,58,345
2,3,0.4,1,178,150
30,38,0.37,21,365,35
2,115,4.13,1,239,110
5,103,2.17,1,27,95
3,4,0.29,1,89,70
1,9,0.18,1,0,29
30,18,0.3,1,0,70
1,52,0.72,1,323,120
2,23,1.33,116,253,419
2,77,1.47,5,339,508
5,27,0.71,3,229,315
3,24,2.06,1,0,80
3,1,0.03,1,0,42
30,12,0.48,4,177,24
1,1,0.02,1,0,110
5,1,0.18,1,343,55
5,23,0.56,1,89,135
6,1,0.14,2,180,200
30,8,0.18,3,358,85
3,17,0.26,6,0,155
2,87,1.93,1,0,107
2,29,0.51,4,162,30
3,15,0.41,2,158,44
30,9,0.06,3,0,114
2,3,0.38,7,329,256
2,18,1.96,3,89,129
2,60,1.54,1,222,96
5,101,1.01,1,224,240
2,74,2.57,2,343,70
3,29,0.43,1,0,120
1,15,0.55,3,118,40
2,4,0.37,8,0,418
2,24,2.5,2,61,95
2,2,0.1,119,90,273
2,74,1.19,4,333,135
30,5,1.03,20,363,27
1,8,0.74,1,89,99
2,48,1.56,11,323,175
30,5,0.19,393,304,249
1,2,0.05,6,0,50
7,26,2.92,5,0,120
3,10,2.0,15,245,1656
1,1,0.02,1,0,225
30,8,0.56,1,90,150
2,1,0.03,3,0,72
30,7,0.34,8,180,95
2,1,0.11,1,0,40
1,16,0.46,2,0,26
91,68,1.09,1,172,100
35,13,0.41,2,0,50
3,3,0.07,1,0,99
2,5,0.67,1,38,100
2,9,0.18,1,0,400
3,9,3.42,4,52,95
2,72,3.46,1,143,128
2,28,0.56,1,364,160
2,29,1.86,1,13,513
3,57,1.57,1,13,150
3,28,2.75,1,144,175
1,136,3.03,1,280,47
1,59,7.97,1,161,145
2,11,0.25,1,179,175
1,10,1.2,12,83,106
1,1,0.03,26,0,40
2,135,2.8,10,296,48
30,2,0.45,4,335,40
2,2,0.42,44,5,32
10,23,0.48,1,355,86
2,71,2.19,1,142,263
1,212,6.12,1,0,85
4,80,1.33,1,241,145
2,104,2.63,2,0,89
2,14,2.2,1,133,180
2,33,0.38,24,171,185
2,35,1.99,1,0,88
1,104,2.42,1,310,66
2,30,1.46,1,354,128
29,6,0.08,1,102,155
2,1,0.09,61,346,214
1,2,0.23,189,363,167
30,1,0.07,2,0,400
30,2,0.91,9,0,29
3,1,0.06,2,361,36
2,1,0.08,1,1,174
31,9,0.72,1,150,756
1,131,4.06,7,0,104
30,4,0.66,125,353,195
3,80,1.39,3,267,73
3,83,3.7,8,316,232
2,71,4.84,2,127,111
2,2,0.12,1,0,150
7,14,0.7,2,0,115
1,4,0.07,2,0,84
2,210,4.14,1,153,129
1,10,0.64,1,365,55
1,87,2.67,74,310,213
3,75,3.37,8,298,218
1,23,2.79,11,1,364
2,20,0.4,75,355,257
1,82,2.61,5,80,250
30,1,0.02,1,365,100
7,2,0.15,1,254,180
30,10,0.43,2,63,119
2,1,0.03,1,0,50
1,28,2.78,1,139,110
1,14,0.56,29,9,189
2,9,1.22,1,130,78
2,2,2.0,6,147,500
2,26,1.24,1,308,60
2,23,0.69,41,0,190
29,7,0.16,2,255,195
7,1,0.02,1,0,55
1,4,0.17,1,365,420
2,2,0.04,1,0,225
1,8,0.65,1,265,120
3,2,0.69,3,287,241
1,72,2.93,20,358,89
1,30,2.44,1,68,49
4,1,0.06,110,259,799
2,88,4.27,2,5,75
2,36,1.99,1,51,120
3,6,1.45,1,38,115
2,22,1.77,1,256,135
3,12,0.25,35,229,170
1,2,0.31,3,180,81
2,1,0.11,4,365,54
1,1,0.22,6,11,135
6,2,0.17,3,346,49
10,2,0.08,1,0,135
1,27,1.6,1,89,72
2,10,0.62,6,229,385
1,62,3.38,7,24,72
1,143,5.02,2,172,35
1,30,1.7,24,162,29
2,5,0.57,1,207,135
2,27,0.81,1,0,225
2,144,2.94,2,192,100
1,2,0.44,1,179,300
2,10,1.99,1,311,271
3,113,2.26,1,78,123
7,76,1.28,4,68,55
10,2,0.07,1,87,350
4,1,0.94,4,90,68
3,21,0.62,1,0,93
4,1,0.12,1,0,175
1,7,0.13,4,0,75
90,1,0.01,4,364,90
3,3,0.15,1,153,700
4,60,1.65,1,34,130
4,2,0.05,284,159,381
1,1,0.05,23,31,151
1,1,0.12,1,363,55
30,26,0.66,1,112,119
1,2,0.16,6,365,145
3,4,0.35,13,89,800
2,4,0.2,14,268,192
2,33,1.05,1,349,585
3,117,2.25,1,364,314
3,5,1.25,1,362,300
1,4,0.97,6,46,90
1,1,0.03,1,0,130
5,11,0.18,1,351,125
29,22,3.3,1,114,65
1,7,3.96,1,6,81
30,8,0.47,1,130,89
1,1,0.2,2,364,80
1,168,4.37,1,306,110
1,2,0.04,1,0,33
3,33,0.56,2,269,114
1,4,0.21,1,0,75
2,14,1.7,47,159,118
1,1,1.0,1,173,76
1,40,3.75,6,365,46
2,164,3.19,1,57,72
3,3,1.96,1,64,116
1,6,0.26,1,0,30
2,7,0.9,9,346,166
30,5,0.05,3,89,130
2,87,2.73,1,0,120
30,31,0.56,1,90,74
4,19,0.51,1,0,57
1,45,2.94,1,76,108
1,2,0.04,1,0,80
30,39,1.73,14,0,28
31,1,0.17,3,72,55
2,8,0.39,1,0,80
2,114,3.78,16,250,129
1,11,0.31,1,0,79
1,7,0.88,3,0,125
3,3,0.17,1,0,115
1,75,4.85,5,335,125
2,8,1.15,1,319,180
2,4,0.15,1,69,90
2,141,5.63,2,223,74
1,132,4.37,1,177,90
30,29,0.99,47,362,121
2,1,0.05,1,0,50
14,11,0.69,1,0,75
2,31,1.98,2,350,65
1,85,3.7,1,102,40
1,2,0.1,233,287,217
1,8,0.39,1,0,159
2,4,0.17,1,0,148
2,44,0.82,2,321,329
10,7,0.27,7,237,570
2,3,0.35,2,179,120
1,67,2.39,5,328,192
20,22,0.94,2,0,55
1,4,0.1,12,29,79
2,1,0.02,1,0,45
3,14,0.53,33,304,192
14,16,0.44,4,133,109
1,302,6.12,1,223,165
29,59,0.6,42,204,103
1,211,2.17,2,364,85
2,3,0.1,4,44,100
2,18,1.14,1,66,95
3,16,0.54,166,348,241
30,54,0.85,6,365,188
30,86,4.98,1,246,70
5,2,1.18,3,361,36
2,69,2.49,1,0,82
1,60,1.29,1,0,90
1,1,0.03,108,308,137
30,25,0.38,5,311,60
2,165,4.35,4,138,155
3,21,1.28,2,25,101
3,9,1.15,13,225,173
2,105,4.12,3,159,137
1,2,0.13,11,365,22
4,74,2.34,2,157,150
5,41,1.38,1,0,150
30,2,0.04,30,365,125
3,40,1.57,3,271,215
2,5,0.37,1,85,100
30,9,0.37,2,0,106
3,5,0.1,2,162,157
7,82,1.72,4,2,220
1,32,1.66,4,68,159
2,45,1.18,1,90,36
14,1,1.0,1,27,425
3,90,1.8,2,66,99
3,13,0.57,1,0,40
1,123,2.14,1,365,95
2,1,0.29,1,0,200
1,28,0.97,1,355,650
2,7,0.88,1,0,79
3,48,1.16,1,138,125
3,15,1.3,1,317,350
1,67,3.85,2,0,69
3,35,0.5,2,333,145
1,1,0.03,1,0,500
1,1,0.05,233,224,1532
2,25,2.17,2,94,132
1,7,2.76,1,350,199
4,54,0.9,11,0,128
1,151,2.36,1,184,235
2,67,2.09,1,0,135
3,41,2.04,49,70,119
3,1,0.1,26,278,192
2,50,2.31,1,6,125
2,117,4.2,1,64,85
3,127,2.8,1,255,119
30,5,0.2,1,115,185
2,38,0.95,4,336,199
1,69,5.24,2,58,100
2,89,2.13,2,357,75
3,36,1.39,1,333,500
30,7,0.22,1,0,165
30,23,1.6,1,0,99
30,1,0.16,142,186,97
2,28,0.79,1,8,200
1,24,2.95,2,341,86
31,2,0.15,21,129,105
3,65,2.67,1,113,126
1,1,0.04,7,0,9999
3,149,3.33,1,218,125
30,67,0.99,1,0,120
14,1,0.04,12,365,69
2,8,1.45,11,327,229
3,11,0.31,1,347,500
3,2,0.12,3,312,65
1,58,0.8,5,334,100
5,6,0.17,1,0,85
25,131,4.8,1,22,95
3,64,1.57,1,180,117
30,55,0.72,1,8,175
1,149,4.17,7,9,40
2,4,0.08,1,0,150
1,10,1.47,1,275,233
1,85,6.01,1,113,69
31,7,0.33,17,27,69
1,431,10.63,8,163,57
2,18,2.05,1,331,56
2,6,0.54,195,345,123
1,4,0.42,1,0,60
2,171,4.35,1,163,81
5,1,0.08,3,89,82
7,3,0.17,1,0,51
2,57,1.13,1,269,299
2,44,3.37,1,0,139
5,1,1.0,1,103,200
2,8,0.16,1,0,115
30,9,0.09,14,365,35
5,2,0.21,1,0,85
2,2,0.31,1,0,199
2,147,2.91,1,1,101
31,1,0.38,1,76,225
2,5,0.44,1,40,113
3,16,0.83,3,142,100
2,41,2.61,4,36,48
30,62,1.85,1,60,275
5,3,0.1,157,276,181
2,5,0.17,1,0,80
30,2,0.15,36,361,38
1,5,0.74,2,364,100
2,2,0.73,5,89,59
2,38,0.5,1,0,125
2,5,1.58,1,165,92
1,48,1.52,142,363,133
1,38,3.11,1,115,85
30,146,1.3,4,0,78
5,59,2.77,5,157,79
1,6,0.3,45,0,376
1,53,3.46,1,0,68
1,57,4.06,1,114,91
2,118,5.4,6,164,74
10,4,0.14,1,0,119
2,52,2.04,5,0,135
30,3,1.5,1,335,171
1,67,4.82,4,346,37
2,6,0.24,37,338,180
5,6,0.91,1,0,210
1,16,2.55,1,293,765
3,1,0.02,1,0,69
30,1,0.04,1,0,70
2,114,5.61,4,317,79
2,86,1.37,4,363,64
3,5,0.21,1,0,145
30,1,0.02,1,0,193
30,57,2.94,1,322,80
1,69,1.95,5,166,175
2,2,0.56,7,330,299
30,1,0.09,22,89,30
28,48,2.25,1,152,445
2,17,1.04,34,189,122
20,3,0.08,1,0,300
5,79,3.23,3,310,150
1,5,0.26,1,362,475
1,55,1.41,1,0,56
6,2,0.55,3,362,180
2,38,2.15,1,0,46
30,14,0.4,22,89,31
2,2,0.15,89,324,116
1,237,4.32,8,175,65
2,42,2.66,1,187,85
11,3,0.14,1,0,30
15,1,0.5,1,365,35
1,82,2.05,6,288,225
1,7,0.98,1,110,99
3,20,0.66,2,0,55
2,2,0.08,1,0,47
2,2,0.05,1,0,89
1,15,1.03,5,358,190
30,6,0.24,9,266,90
1,310,4.26,1,168,50
3,4,1.18,1,0,550
30,27,0.78,8,225,120
2,1,0.33,4,0,29
10,1,0.02,1,0,40
1,2,0.09,31,89,82
1,1,0.02,1,0,49
5,1,1.0,8,180,245
5,19,0.96,1,201,200
30,1,0.14,5,365,99
3,4,0.13,74,303,295
1,58,2.01,43,0,37
7,7,0.25,2,365,50
1,237,4.21,2,320,60
2,25,2.42,2,176,110
1,1,0.02,1,0,120
30,2,0.08,31,365,155
1,13,0.18,1,325,290
4,6,0.07,1,236,160
3,119,1.62,1,251,139
1,2,0.06,1,0,56
2,23,1.38,1,77,60
2,21,0.78,1,122,70
4,21,0.89,41,278,135
30,10,2.04,110,73,51
1,4,0.29,5,333,65
30,50,2.52,1,89,109
1,15,2.27,1,365,345
2,6,0.12,1,0,98
1,100,4.91,1,0,81
2,5,0.5,3,71,450
30,2,0.37,3,115,75
2,58,0.89,61,121,336
1,1,0.02,1,0,66
3,94,1.59,3,122,196
7,20,0.35,3,364,75
1,154,4.47,22,0,129
30,123,2.38,1,1,90
3,1,0.02,6,0,198
2,71,3.02,3,50,126
2,34,0.92,1,0,110
3,6,0.22,1,0,197
3,5,0.12,1,0,80
1,6,0.12,1,0,80
2,200,1.7,5,362,38
10,130,1.82,2,0,91
6,3,0.28,1,83,1200
2,147,1.5,2,7,215
1,11,0.57,19,212,461
30,1,0.02,20,222,377
30,3,0.34,26,180,24
2,80,2.46,11,348,372
5,51,1.28,2,0,58
30,1,0.03,1,179,1000
2,193,2.47,1,365,92
30,2,0.58,232,69,132
30,1,0.03,88,358,110
4,1,0.42,1,180,70
3,16,0.8,9,279,255
2,1,0.07,27,260,260
30,7,0.23,3,229,125
30,24,0.37,1,0,179
1,8,0.78,25,355,58
2,159,2.29,1,363,95
3,23,0.23,1,207,235
4,50,2.36,1,340,95
2,2,0.04,1,0,90
1,58,2.88,5,46,69
1,4,0.13,40,330,85
7,24,1.02,2,163,41
2,173,3.55,3,0,80
1,3,1.96,15,178,52
5,13,0.55,16,180,30
91,8,0.16,6,365,40
2,43,2.74,4,56,64
2,1,0.06,1,0,50
4,17,0.36,2,207,50
3,1,0.68,4,90,40
1,7,1.03,1,66,89
3,29,1.71,3,365,129
2,20,0.28,3,292,185
30,22,1.46,6,59,99
2,6,0.33,4,364,125
2,67,1.37,2,61,85
3,1,0.09,5,90,138
1,28,3.09,1,0,301
2,244,6.84,1,123,114
3,72,2.64,1,315,250
1,1,1.0,1,0,93
3,7,0.24,1,353,130
1,77,4.26,1,26,100
28,1,1.0,130,340,32
2,67,2.04,1,321,139
7,4,0.3,1,265,250
2,34,1.97,1,0,95
3,3,0.06,1,0,109
3,2,0.08,41,341,347
1,44,2.35,4,241,189
1,97,2.74,2,180,79
30,20,0.6,1,187,58
1,1,0.32,1,179,90
2,64,1.34,1,0,125
1,316,14.67,3,54,66
2,235,2.86,1,149,174
3,71,1.37,1,102,120
3,165,3.44,3,238,175
31,161,2.74,1,304,74
30,51,1.04,2,340,59
2,14,1.55,162,0,240
28,3,0.12,1,301,230
2,1,0.17,39,242,149
28,1,0.1,5,1,338
30,2,0.06,2,87,295
3,93,1.08,2,4,120
3,12,0.74,9,277,195
30,92,1.49,2,68,125
2,41,2.15,2,157,69
2,28,1.14,4,89,109
1,1,0.09,97,257,140
60,8,0.3,12,365,60
3,35,1.63,5,330,245
1,4,4.0,13,347,79
2,1,0.02,1,0,107
3,127,1.44,1,269,82
5,18,0.59,213,355,189
91,33,1.02,1,89,70
2,16,0.54,1,0,800
2,196,3.41,1,323,92
2,104,2.48,6,364,35
1,91,2.27,20,315,199
2,14,0.3,1,364,145
1,15,0.74,2,178,65
2,14,0.83,1,66,50
2,125,2.85,3,178,60
14,1,1.0,2,179,35
31,32,1.28,52,327,126
30,2,0.09,2,252,135
1,11,0.34,13,337,196
1,5,0.1,1,0,94
1,14,0.79,2,147,136
1,173,3.77,2,117,190
4,40,1.37,1,2,104
7,1,0.02,1,0,65
7,2,0.08,1,0,142
14,2,0.36,3,0,40
1,8,1.24,3,140,77
2,51,0.84,6,0,70
1,9,1.54,47,156,207
30,3,0.05,1,0,120
2,6,0.84,2,180,89
3,9,0.18,35,282,190
30,4,0.24,1,0,131
3,45,1.39,1,67,79
2,28,2.45,2,322,352
4,42,1.27,1,30,139
2,8,0.12,2,346,100
1,7,1.45,7,359,38
1,74,1.48,3,23,48
2,135,2.71,1,36,120
2,56,0.58,1,202,91
1,15,0.62,8,347,60
2,2,0.28,2,80,299
2,41,1.8,2,362,140
30,40,2.23,1,297,62
2,4,0.08,2,0,139
2,70,3.39,1,157,135
2,15,0.89,1,21,100
2,177,4.98,1,207,95
1,1,0.13,1,0,40
180,84,3.06,20,363,135
1,5,0.07,1,0,300
1,3,0.24,23,364,40
30,5,0.31,11,343,89
3,161,1.97,2,220,129
1,243,6.65,1,74,90
2,36,0.7,2,194,1000
2,44,1.4,4,156,159
2,19,1.3,5,80,258
2,89,5.42,5,0,69
2,11,0.46,1,0,290
2,2,0.05,1,0,150
1,22,0.95,3,85,25
3,78,2.25,83,365,99
1,1,0.03,1,0,50
2,64,2.11,2,0,59
31,26,0.41,44,329,80
30,66,3.09,3,134,49
30,1,0.14,154,259,95
1,11,2.05,3,0,45
2,52,0.87,35,312,441
2,52,3.34,1,135,76
1,220,4.3,6,252,157
14,3,0.28,1,364,40
2,1,0.02,3,18,1500
30,31,0.5,1,0,94
15,20,1.62,5,229,32
30,45,0.41,2,8,73
2,14,0.95,1,0,300
30,60,0.83,1,0,63
4,2,0.49,2,232,90
3,2,0.04,1,0,55
60,1,0.05,2,60,140
7,1,0.07,2,0,115
3,15,0.91,7,338,28
2,13,0.31,4,0,80
1,17,0.69,1,88,60
7,2,0.71,1,157,222
1,48,1.71,8,278,35
7,18,1.57,2,44,325
5,13,0.42,23,224,149
2,4,0.24,1,0,60
3,8,0.17,2,61,275
30,5,0.65,20,360,215
4,55,1.41,63,280,675
3,42,1.54,1,179,48
2,83,3.23,1,53,120
1,5,0.14,8,124,316
1,11,0.41,1,0,77
1,3,0.37,1,0,50
1,89,2.94,1,0,50
2,17,1.83,1,154,90
7,2,0.26,17,254,894
3,159,2.46,1,0,280
2,1,0.02,1,0,145
10,22,0.49,1,365,55
1,2,0.04,1,0,120
30,4,0.07,1,0,75
15,48,2.85,11,347,408
1,216,5.42,2,256,45
1,4,0.3,1,0,150
1,48,3.24,4,71,45
1,5,0.48,9,0,89
30,1,0.21,206,299,192
4,1,0.17,2,0,90
1,3,0.46,3,12,500
2,48,1.34,1,0,95
3,7,0.28,1,260,264
31,1,0.04,107,2,45
30,25,0.26,1,0,400
2,6,0.25,3,321,175
2,182,3.6,1,327,179
3,19,1.5,3,175,82
1,26,5.61,1,0,94
2,65,0.81,2,191,399
3,1,0.02,1,0,125
1,17,0.64,2,180,103
3,15,0.67,1,0,750
1,6,0.1,1,0,130
1,20,5.71,5,360,79
7,5,0.39,33,87,249
2,163,4.16,2,296,199
1,73,3.21,20,151,682
1,62,1.38,6,243,170
1,117,2.17,1,6,45
1,2,0.07,1,0,50
6,5,0.22,1,0,180
30,1,0.28,120,343,142
1,17,0.96,9,89,24
1,3,0.41,3,11,168
30,2,0.04,1,87,60
2,14,1.25,1,89,75
3,25,1.85,1,74,167
1,33,1.17,19,0,220
1,42,1.0,5,31,95
2,165,3.95,1,295,150
1,160,3.14,2,355,269
7,11,0.27,8,275,829
3,20,1.37,10,0,244
1,18,2.63,1,343,119
30,24,0.32,2,0,75
1,290,5.96,5,48,40
2,116,2.3,71,362,152
30,248,3.91,20,274,20
30,94,1.39,3,348,225
31,34,0.88,1,0,200
2,10,0.13,3,245,185
1,105,1.85,29,295,55
2,150,2.81,1,79,62
2,18,0.5,1,179,75
7,5,0.38,3,135,250
1,52,2.16,1,345,79
3,72,1.9,4,180,75
1,18,2.9,1,348,339
1,75,2.47,3,31,54
20,7,0.19,4,238,55
3,18,0.45,3,133,170
2,3,0.07,1,0,150
7,3,0.03,1,0,115
3,7,0.2,123,184,252
2,158,1.22,2,308,135
1,189,6.91,1,67,57
1,90,3.33,1,53,499
30,2,0.12,232,0,87
1,120,6.07,1,242,108
4,4,0.34,1,52,550
1,6,0.56,2,56,120
3,117,2.14,83,294,105
7,27,0.6,2,72,35
7,27,0.33,1,0,94
3,3,0.08,21,321,185
3,110,1.71,1,323,40
1,280,7.01,2,226,135
2,1,0.08,2,0,119
1,2,0.04,1,0,80
60,20,0.68,2,103,49
1,22,2.06,34,246,159
1,2,0.06,1,365,92
28,82,0.81,1,0,99
2,14,1.2,2,0,154
20,1,0.09,16,126,52
31,4,0.32,3,358,37
1,6,0.29,45,214,182
10,2,0.07,1,0,140
4,86,1.1,2,219,230
4,19,0.79,6,118,116
1,26,1.05,21,314,77
4,14,0.16,1,302,300
1,5,0.16,1,0,40
5,54,0.95,3,223,99
2,1,0.02,1,362,2200
3,18,0.95,1,127,750
1,372,5.77,2,270,125
3,14,0.89,2,365,50
2,49,2.95,1,57,76
4,3,0.29,1,179,105
3,64,1.19,17,141,250
1,38,1.51,9,0,375
2,22,3.11,1,111,125
4,233,1.76,1,365,239
1,4,0.08,1,0,140
2,171,2.95,1,36,103
30,4,0.29,3,359,116
1,67,2.88,17,212,104
1,112,1.66,9,362,53
3,8,0.21,1,0,55
1,8,0.24,1,0,70
1,4,0.08,1,0,70
25,8,0.33,1,343,55
2,6,0.59,3,36,40
30,7,0.12,1,0,80
2,1,0.08,109,0,159
20,27,1.03,1,83,199
3,5,0.39,2,247,299
4,3,0.25,1,0,218
2,98,3.49,1,74,121
3,16,0.96,5,180,100
1,7,0.37,103,337,100
2,51,1.46,1,209,85
3,30,1.45,1,0,350
6,15,1.24,3,179,129
2,16,0.36,16,332,80
2,7,0.07,1,220,99
4,4,0.22,10,0,650
7,110,1.33,1,263,185
3,95,4.09,3,54,69
3,29,1.21,7,253,42
20,9,0.47,8,0,99
30,4,0.17,29,204,115
28,37,0.99,17,297,49
30,22,0.3,1,105,105
2,15,0.82,2,359,239
30,24,0.48,3,253,69
2,61,0.94,2,74,300
1,151,3.12,1,0,53
1,7,0.15,67,237,114
4,2,0.06,1,0,175
2,2,0.19,15,146,196
3,85,3.25,1,124,217
29,3,0.09,1,177,200
1,4,0.76,36,0,25
1,56,1.57,3,272,175
1,3,3.0,4,358,285
2,15,1.67,1,302,129
7,33,0.35,1,0,119
30,15,0.27,2,346,85
1,16,0.41,1,222,75
30,41,0.98,1,61,134
30,15,0.33,2,344,302
2,15,0.5,9,78,225
1,29,4.39,2,176,40
1,289,4.79,4,293,129
1,66,5.69,2,343,44
1,51,1.19,17,90,25
2,165,2.8,1,201,421
1,236,3.18,4,295,99
1,7,0.47,2,0,98
30,8,0.72,1,60,60
2,155,2.94,1,0,107
2,81,2.19,1,0,117
30,6,0.31,4,310,89
3,3,0.39,4,352,189
1,18,2.04,12,354,195
3,14,1.6,9,346,129
1,88,1.35,2,173,150
3,1,0.03,1,0,53
30,16,0.88,1,364,160
1,4,0.11,1,0,49
1,80,1.14,2,0,150
2,28,0.66,36,333,159
1,85,2.61,2,348,46
3,23,1.01,2,332,179
1,19,1.01,28,353,1004
1,15,1.09,6,1,35
31,3,0.35,4,80,17
3,11,0.2,1,0,300
30,217,2.5,1,24,75
1,4,0.17,90,353,193
1,48,0.6,9,0,49
30,9,0.27,1,364,115
2,9,0.42,1,180,150
1,1,0.03,1,0,36
1,33,0.45,1,365,130
14,7,0.63,1,0,85
1,70,1.9,2,160,199
1,1,0.11,4,293,395
2,107,3.06,1,63,95
3,454,5.3,2,354,65
3,1,0.03,1,363,199
1,1,0.05,2,0,250
1,66,9.3,1,142,56
1,12,0.36,7,356,70
9,1,0.43,18,92,147
1,1,0.02,1,0,1200
2,30,0.94,1,6,60
2,25,0.61,1,89,115
1,23,0.73,55,281,417
1,26,2.09,3,0,29
1,14,0.22,233,286,202
30,1,1.0,1,0,393
5,67,0.98,1,65,110
2,139,7.9,1,0,40
3,2,0.06,2,147,315
6,11,0.23,2,364,65
1,98,2.35,4,365,85
3,2,0.28,3,254,125
5,4,0.12,1,0,28
1,20,1.58,4,113,40
1,28,2.54,4,160,132
1,4,0.76,15,72,119
30,5,0.56,3,364,116
2,8,0.26,1,0,82
4,2,0.25,58,268,139
2,22,0.86,1,0,200
1,74,1.32,1,348,58
3,15,0.55,27,170,471
3,7,0.63,195,352,121
1,305,11.25,2,0,139
1,17,0.8,37,0,87
1,29,2.61,1,292,71
3,7,0.49,1,356,238
30,28,1.13,6,0,33
25,1,0.19,18,162,130
30,2,0.28,17,344,60
1,42,0.96,1,173,65
1,3,0.07,1,178,160
2,220,7.1,1,222,107
1,114,4.05,2,61,60
2,46,2.94,9,0,215
1,246,4.73,1,337,77
5,69,1.78,2,304,200
2,9,1.65,2,360,737
1,76,1.98,1,0,51
5,6,0.1,1,0,115
2,8,1.45,1,24,150
1,1,1.0,1,363,55
2,25,0.59,1,177,150
1,5,0.27,1,0,38
2,4,0.61,47,77,129
5,136,3.39,2,264,196
30,1,0.05,1,89,125
2,16,0.32,3,364,45
3,23,0.63,17,15,425
3,14,1.06,1,88,185
1,67,1.57,5,3,171
30,4,0.08,1,179,500
3,77,1.44,1,324,61
30,32,0.73,2,322,95
1,70,2.7,1,256,150
30,60,1.69,1,89,110
30,573,7.61,3,358,169
1,3,0.05,1,0,45
1,123,3.62,15,365,139
1,231,4.15,4,361,130
5,14,0.32,24,331,31
2,16,2.01,1,180,46
1,55,0.55,10,343,176
3,68,1.08,8,257,175
30,20,0.51,6,364,95
2,30,3.86,1,15,74
30,2,0.04,12,365,373
3,12,0.42,6,355,225
1,2,0.37,171,228,895
1,55,0.79,2,318,50
2,23,0.51,1,365,41
3,32,0.79,1,0,180
2,299,5.69,1,5,149
2,16,2.57,1,312,250
3,2,0.05,1,0,40
2,13,0.37,2,89,194
3,66,1.12,1,272,425
1,67,3.37,5,138,99
1,85,2.43,1,154,139
30,5,0.09,1,0,50
3,14,0.68,30,266,140
1,32,2.74,47,358,84
5,5,0.14,157,305,172
29,6,0.23,1,179,90
1,1,0.08,1,0,46
30,18,8.18,1,350,70
21,2,0.04,1,0,53
2,108,4.04,1,314,238
30,20,0.23,30,0,50
2,4,0.66,1,48,82
1,60,4.18,62,76,64
1,2,0.07,233,59,559
1,19,2.21,4,4,43
20,6,0.22,2,65,110
3,17,1.19,3,333,68
62,3,0.37,1,214,50
3,58,1.67,2,0,230
28,2,0.05,99,243,102
2,2,0.06,4,365,250
1,66,5.63,8,313,171
6,2,0.13,2,0,350
2,109,2.83,4,133,393
3,28,1.22,40,64,125
4,1,0.18,1,0,129
2,15,0.37,2,365,54
3,9,0.8,2,1,324
3,43,2.94,30,347,179
1,1,0.2,6,339,55
3,13,1.34,2,313,129
1,154,5.51,1,168,59
5,23,0.95,213,329,119
1,19,0.37,1,0,84
5,54,3.78,3,36,119
1,42,2.27,2,69,60
5,16,0.3,1,0,75
4,21,0.51,149,359,170
1,674,4.88,1,230,40
30,36,0.5,2,171,165
5,3,0.06,1,0,80
2,80,3.51,1,59,110
28,51,2.34,1,0,120
1,53,3.98,2,161,43
8,6,0.2,8,1,48
30,1,0.07,2,123,110
3,2,0.06,4,363,529
2,66,1.01,4,48,48
1,8,0.1,1,0,91
30,4,0.07,1,0,120
2,45,0.86,1,106,71
1,1,0.11,2,0,55
1,1,0.86,55,359,394
2,10,0.61,1,311,85
30,6,0.42,27,34,60
1,108,4.26,2,251,82
3,41,1.36,1,57,120
2,186,5.11,1,176,85
1,1,0.16,78,297,362
6,1,0.11,11,208,250
4,11,0.24,1,64,135
3,151,1.48,1,335,200
2,44,2.91,1,116,99
1,9,1.05,1,22,80
1,222,4.34,14,292,177
30,2,0.13,1,178,600
30,1,0.16,232,361,72
30,2,0.08,1,0,70
5,16,0.72,5,364,70
2,26,1.81,34,127,118
35,6,0.1,1,0,87
1,4,0.27,2,0,199
30,3,0.08,1,0,80
3,12,0.95,1,155,180
2,2,0.14,1,0,300
1,9,0.09,1,364,502
5,4,0.08,1,0,65
3,9,0.17,11,3,225
3,5,0.07,1,0,65
3,2,0.05,2,19,500
4,7,0.47,149,272,200
1,23,0.44,1,364,45
2,45,2.16,1,25,79
30,4,0.26,1,0,179
4,1,0.12,284,221,140
2,72,2.02,1,251,46
2,2,0.33,2,0,80
200,1,0.03,10,83,145
1,4,0.91,6,348,164
3,3,0.13,1,0,349
1,153,4.9,2,365,120
7,78,2.42,3,22,104
2,2,0.16,38,317,120
2,31,3.3,1,86,499
30,2,0.24,1,364,95
2,20,1.38,1,302,450
2,26,4.56,1,264,106
2,24,0.72,4,357,100
1,25,2.08,1,84,149
5,68,2.73,1,16,95
15,42,1.94,1,362,75
1,44,0.48,2,74,75
30,48,0.97,1,0,75
5,20,0.2,5,163,139
2,12,0.35,10,290,942
1,12,0.23,1,362,500
2,30,1.7,116,247,239
5,8,0.41,10,363,158
31,29,1.87,6,363,35
5,12,0.65,1,34,359
2,103,2.03,1,280,155
30,86,3.11,1,166,95
1,1,1.0,35,365,22
1,18,0.9,8,358,175
4,24,1.76,13,191,375
